,Notebooking,Origami (Figure),Origami (Modular),Paper Craft,Paper Flight,Popsicle Sticks,Fiber Art,Hands-On Science,3D Printing 101 (Prusa Mini),Vinyl Cutting (Cameo),Laser Cutting 101 (Muse),Digital Embroidery 101 (Brother PE800),Electronics 101,Mechatronics,Engineering 101,Turtle Stitch,Block Coding 101 (scratch),Pygamer,Biomimicry,Lego,Pipe Cleaners,3D Pen
Green,,Fox: Video | https://www.youtube.com/watch?v=DJ23zgGAg6c,,Fold-Up Pup: Instructions | https://drive.google.com/file/d/1z7UEucCYYFn6ugdPIl7op3_BHJiRSD6n/view?usp=sharing,,Popsicle Stick Newton's Cradle: Video | https://youtu.be/DJI3EaBZFZA?feature=shared,,,,,,,,,,,,,,,,
,,,,Fold-Up Pup: Video | https://youtu.be/yJfvYKn2C2o?feature=shared,,,,,,,,,,,,,,,,,,
,,,,Paper Tiger: Instructions | https://drive.google.com/file/d/1U9Ea9vrCS0fMkjGxWSpKFS6L_o2zn8m0/view,,,,,Custom Phone Stand | https://docs.google.com/document/d/1OA3BuftxTsMSqYeQtNtpnxNZfOsnoQrMqopognIWf8A/edit?usp=sharing,,,,,,,,,,Make a carboard hand with straw fingers,,,
,,,,Paper Tiger: Video | https://youtu.be/3SW-9gnr5R0?feature=shared,,,,,,,,,,,,,,,,Design a vehicle that can win a down hill race | https://youtube.com/shorts/u3SwgxKLUwE?si=T1NWpevHyK8IOrT7,,
,The Innovation Process | https://docs.google.com/presentation/d/16xBTtXYuueqzE3l3q3A3edR0jkKQmpY2hgTx67OmQ8w/edit?usp=sharing,Jumping Frog: Instructions | https://www.origamiway.com/origami-jumping-frog.shtml,Cris-Cros Cube: Instructions | https://docs.google.com/document/d/1BbSvuZO7bEbNm6923o-tipX7Dhoq7-7u/edit,Origami Boat: Instructions | https://www.origamiway.com/origami-boat.shtml,Professional Paper Airplane: Instructions | https://www.origamiway.com/plane-professional.shtml,Popsicle Stick Chain Reaction: Instructions | https://youtu.be/FGXv-Pp615U,Geometric String Art | https://www.instructables.com/Geometric-String-Art/,Air Blaster | https://drive.google.com/file/d/1bw_uqz1i51PHv6AERrFe1PzzW8kXq6Dr/view?usp=drive_link,,,,,Make an LED Series Circuit | https://docs.google.com/document/d/1ZPS6lfO9SXX24JczBVcq7Cqc2-XPw_ET/edit,Corregated Gears,Popsicle Stick Harmonica | http://www.housingaforest.com/popsicle-stick-harmonica/,Little & Large | https://docs.google.com/drawings/d/13Ct2MMdffsHZDHRLVIMILhW_eW-7mN7RFQmkil2BC1w/edit?usp=sharing,Code a Cartoon | https://docs.google.com/document/d/1wgKr2BJtbjDlYzX5n21WlDZjJe-SND73/edit,Complete One whole level of the ARCADE SKILLS MAP (Pidegeon Level) | https://arcade.makecode.com/--skillmap,,,CupCake | https://www.youtube.com/watch?v=QRHa3E53l3A,Filled Cube | https://docs.google.com/document/d/1OrYR_tQXhRpL-pzGRqhM1wpJkVe0Qn3SX2nfcqfvWv0/edit?usp=sharing
,,Jumping Frog: Video | https://www.youtube.com/watch?v=1kZjq8f8Mpo,Cris-Cros Cube: Videos * | https://www.youtube.com/watch?v=HQhBOLABSkg,Origami Boat: Video | https://youtu.be/3N7EUi3-PG8?feature=shared,Professional Paper Airplane: Video | https://youtu.be/K2tVuqNxKdw?feature=shared,Popsicle Stick Chain Reaction: Video | https://youtu.be/r7j7l39ZAsU?feature=shared,Posable Yarn Friend | https://www.instructables.com/Posable-Creepy-Yarn-Friend/,Slime: Instructions | https://littlebinsforlittlehands.com/how-to-make-saline-solution-slime-recipe/,,Trace an Image in Silhouette Studio | https://docs.google.com/document/d/1RkdDKCjzJTwM2dAsCoNgLksI2viHa0Wv/edit,2.5D Chess Pawn | https://docs.google.com/document/d/1uaXBzE9SLDNS5D8MlvX8VyoH_RXwIeQx/edit,Multicolor Patch | https://docs.google.com/document/d/1DVfj7wUGo8kYKOKMwN-xWRHMnbcu9ntZ/edit,Make a Variable Resistor | https://docs.google.com/document/d/1ywzIkCgD4mzWq1Pguh6pPOIqp3t2iukU/edit,,DIY Spin Drum | https://www.minted.com/julep/2014/07/14/kids-party-ideas-diy-musical-instrument/,,,,,,Sword | https://www.youtube.com/watch?v=IZry2TYbC3s,
,,,,Jumping Frog Level 2: Instructions | https://www.origamiway.com/origami-jumping-frog.shtml,,Da Vinci Popsicle Stick Bridge: Instructions | https://www.instructables.com/Da-Vinci-Popsicle-Stick-Bridge/,,Slime: Video | https://youtu.be/Tb84tJl7eqo?feature=shared,,,Laser Cut Diorama | https://docs.google.com/document/d/1D2PAy1wVQnP-YMVjyJR-xYKg5pLk8fMI/edit,,,,Rubber Band Guitar | http://www.makeit-loveit.com/2011/03/mister-make-it-and-love-it-series.html,,,,,,,
,,Beetle: Instructions | http://origami.me/beetle/,,Jumping Frog Level 2: Video | https://youtu.be/2dHhvV18eX8?feature=shared,,Da Vinci Popsicle Stick Bridge: Video | https://youtu.be/mVP0I-nsP_8?feature=shared,,Parachute Design (Video Only) | https://youtu.be/nmJPOHNUzB4?si=bambm151qwEiCt9A,,,,,,,,,,,,,,
,,Beetle: Video | https://www.youtube.com/watch?v=Hdj_Vr7dOok,,Toon Skelly Mask: Instructions | https://drive.google.com/file/d/1Bv9TREvi0IwOanvc3KI-q7eCTxc9N1Uh/view?usp=sharing,,,,,,,,,,,,,,,,,,
,,,,Toon Skelly Mask: Video | https://youtu.be/GFxjC9WY-lY?feature=shared,,,,,Custom Ring in TinkerCad | https://docs.google.com/document/d/18khDTj27AIhp4tYXK_6c7QlxLbZoTUa9SemmDa7N9a8/edit?usp=sharing,,,,,,,,,,Make a Brush Bot,,,
